field_name,data_type,description,business_context,possible_values,notes
customer_id,Numeric (Integer),Unique identifier assigned to each customer,"Used for record linkage only. Not meaningful for analysis. Verify uniqueness: if count of unique IDs does not match total rows, there are duplicate records.",1 to 10000 (unique),"Confirmed 10,000 unique values matching row count. No duplicates."
credit_score,Numeric (Integer),Standard credit score assigned to the customer,Indicates creditworthiness. Standard range is 300-850. Lower scores may correlate with higher churn if customers feel limited by their banking options. Could also indicate financial stress.,350 to 850,"Min is 350, which is within valid range. No impossible values found."
country,Categorical (Text),Country of residence for the customer,"Geographic segmentation. Different countries may have different banking cultures, competition levels, and regulatory environments that affect churn. Allows comparison of retention rates across markets.","France, Germany, Spain",Only 3 countries represented. This is a European bank dataset. Limits generalisability to other regions.
gender,Categorical (Text),Gender of the customer,Demographic segmentation. May reveal differences in banking behaviour or product preferences between groups.,"Male, Female",Binary classification.
age,Numeric (Integer),Age of the customer in years,"Key demographic variable. Age groups may show different churn patterns due to life stage, financial needs, and digital banking preferences. ",18 to 92,Range is plausible.
tenure,Numeric (Integer),Number of years the customer has been with the bank,Direct measure of customer loyalty. ,0 to 10,"Capped at 10. Could indicate the bank is 10 years old, or data collection covers a 10-year window. Worth noting this ceiling effect."
balance,"Numeric (Currency, £)",Current account balance,"Critical financial metric. Zero-balance customers may be dormant accounts or customers who have already mentally disengaged. High-balance customers represent greater revenue risk if they churn. The gap between mean (£76,486) and median (£97,199) suggests a large cluster of zero-balance accounts pulling the mean down.","£0.00 to £250,898.09","Q1 is £0, meaning at least 25% of customers have zero balance. This is a significant finding requiring further investigation."
products_number,Numeric (Integer),Number of bank products the customer holds,"Product depth indicator. More products typically means a stickier customer. However, in many banking datasets, customers with 3-4 products actually churn at very high rates, which is counterintuitive and worth investigating.",1 to 4,"Exact products are not specified (could be current account, savings, loans, insurance, etc.). Median is 1, meaning most customers hold a single product."
credit_card,Binary (0/1),Whether the customer holds a credit card with the bank,Product ownership flag. ,"0 = No, 1 = Yes",Relationship to products_number is unclear. Limitation documented.
active_member,Binary (0/1),Whether the customer is classified as an active member,Engagement indicator not defined in the dataset but still useful for segmentation.e is still useful for segmentation.,"0 = Inactive, 1 = Active","Definition of ""active"" is unknown. This is a key limitation to acknowledge in any findings."
estimated_salary,"Numeric (Currency, £)",Estimated annual salary of the customer,"Income proxy. The word ""estimated"" is critical; this is not verified income. Conclusions about salary and churn are based on approximations. Useful for creating balance-to-salary ratio as a derived metric.","£11.58 to £199,992.48","Mean and median are nearly identical (~£100k), suggesting even distribution. Min of £11.58 is very low but could be part-time or variable income."
churn,Binary (0/1),Whether the customer left the bank,This is the target variable. Everything in the analysis centres on understanding and predicting this column. The overall churn rate (percentage of 1s) is the baseline against which all segment comparisons are made.,"0 = Stayed, 1 = Left",All segment churn rates should be compared against this baseline.
