customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,age_group,balance_salary_ratio,high_product_flag,credit_card_label,active_member_label,churn_label
15634602,619,France,Female,42,2,£0.00,1,1,1,"£101,348.88",1,31-45,0,0,Yes,Yes,Churned
15647311,608,Spain,Female,41,1,"£83,807.86",1,0,1,"£112,542.58",0,31-45,0.74,0,No,Yes,Stayed
15619304,502,France,Female,42,8,"£159,660.80",3,1,0,"£113,931.57",1,31-45,1.4,1,Yes,No,Churned
15701354,699,France,Female,39,1,£0.00,2,0,0,"£93,826.63",0,31-45,0,0,No,No,Stayed
15737888,850,Spain,Female,43,2,"£125,510.82",1,1,1,"£79,084.10",0,31-45,1.59,0,Yes,Yes,Stayed
15574012,645,Spain,Male,44,8,"£113,755.78",2,1,0,"£149,756.71",1,31-45,0.76,0,Yes,No,Churned
15592531,822,France,Male,50,7,£0.00,2,1,1,"£10,062.80",0,46-60,0,0,Yes,Yes,Stayed
15656148,376,Germany,Female,29,4,"£115,046.74",4,1,0,"£119,346.88",1,18-30,0.96,1,Yes,No,Churned
15792365,501,France,Male,44,4,"£142,051.07",2,0,1,"£74,940.50",0,31-45,1.9,0,No,Yes,Stayed
15592389,684,France,Male,27,2,"£134,603.88",1,1,1,"£71,725.73",0,18-30,1.88,0,Yes,Yes,Stayed
15767821,528,France,Male,31,6,"£102,016.72",2,0,0,"£80,181.12",0,31-45,1.27,0,No,No,Stayed
15737173,497,Spain,Male,24,3,£0.00,2,1,0,"£76,390.01",0,18-30,0,0,Yes,No,Stayed
15632264,476,France,Female,34,10,£0.00,2,1,0,"£26,260.98",0,31-45,0,0,Yes,No,Stayed
15691483,549,France,Female,25,5,£0.00,2,0,0,"£190,857.79",0,18-30,0,0,No,No,Stayed
15600882,635,Spain,Female,35,7,£0.00,2,1,1,"£65,951.65",0,31-45,0,0,Yes,Yes,Stayed
15643966,616,Germany,Male,45,3,"£143,129.41",2,0,1,"£64,327.26",0,31-45,2.23,0,No,Yes,Stayed
15737452,653,Germany,Male,58,1,"£132,602.88",1,1,0,"£5,097.67",1,46-60,26.01,0,Yes,No,Churned
15788218,549,Spain,Female,24,9,£0.00,2,1,1,"£14,406.41",0,18-30,0,0,Yes,Yes,Stayed
15661507,587,Spain,Male,45,6,£0.00,1,0,0,"£158,684.81",0,31-45,0,0,No,No,Stayed
15568982,726,France,Female,24,6,£0.00,2,1,1,"£54,724.03",0,18-30,0,0,Yes,Yes,Stayed
15577657,732,France,Male,41,8,£0.00,2,1,1,"£170,886.17",0,31-45,0,0,Yes,Yes,Stayed
15597945,636,Spain,Female,32,8,£0.00,2,1,0,"£138,555.46",0,31-45,0,0,Yes,No,Stayed
15699309,510,Spain,Female,38,4,£0.00,1,1,0,"£118,913.53",1,31-45,0,0,Yes,No,Churned
15725737,669,France,Male,46,3,£0.00,2,0,1,"£8,487.75",0,46-60,0,0,No,Yes,Stayed
15625047,846,France,Female,38,5,£0.00,1,1,1,"£187,616.16",0,31-45,0,0,Yes,Yes,Stayed
15738191,577,France,Male,25,3,£0.00,2,0,1,"£124,508.29",0,18-30,0,0,No,Yes,Stayed
15736816,756,Germany,Male,36,2,"£136,815.64",1,1,1,"£170,041.95",0,31-45,0.8,0,Yes,Yes,Stayed
15700772,571,France,Male,44,9,£0.00,2,0,0,"£38,433.35",0,31-45,0,0,No,No,Stayed
15728693,574,Germany,Female,43,3,"£141,349.43",1,1,1,"£100,187.43",0,31-45,1.41,0,Yes,Yes,Stayed
15656300,411,France,Male,29,0,"£59,697.17",2,1,1,"£53,483.21",0,18-30,1.12,0,Yes,Yes,Stayed
15589475,591,Spain,Female,39,3,£0.00,3,1,0,"£140,469.38",1,31-45,0,1,Yes,No,Churned
15706552,533,France,Male,36,7,"£85,311.70",1,0,1,"£156,731.91",0,31-45,0.54,0,No,Yes,Stayed
15750181,553,Germany,Male,41,9,"£110,112.54",2,0,0,"£81,898.81",0,31-45,1.34,0,No,No,Stayed
15659428,520,Spain,Female,42,6,£0.00,2,1,1,"£34,410.55",0,31-45,0,0,Yes,Yes,Stayed
15732963,722,Spain,Female,29,9,£0.00,2,1,1,"£142,033.07",0,18-30,0,0,Yes,Yes,Stayed
15794171,475,France,Female,45,0,"£134,264.04",1,1,0,"£27,822.99",1,31-45,4.83,0,Yes,No,Churned
15788448,490,Spain,Male,31,3,"£145,260.23",1,0,1,"£114,066.77",0,31-45,1.27,0,No,Yes,Stayed
15729599,804,Spain,Male,33,7,"£76,548.60",1,0,1,"£98,453.45",0,31-45,0.78,0,No,Yes,Stayed
15717426,850,France,Male,36,7,£0.00,1,1,1,"£40,812.90",0,31-45,0,0,Yes,Yes,Stayed
15585768,582,Germany,Male,41,6,"£70,349.48",2,0,1,"£178,074.04",0,31-45,0.4,0,No,Yes,Stayed
15619360,472,Spain,Male,40,4,£0.00,1,1,0,"£70,154.22",0,31-45,0,0,Yes,No,Stayed
15738148,465,France,Female,51,8,"£122,522.32",1,0,0,"£181,297.65",1,46-60,0.68,0,No,No,Churned
15687946,556,France,Female,61,2,"£117,419.35",1,1,1,"£94,153.83",0,60+,1.25,0,Yes,Yes,Stayed
15755196,834,France,Female,49,2,"£131,394.56",1,0,0,"£194,365.76",1,46-60,0.68,0,No,No,Churned
15684171,660,Spain,Female,61,5,"£155,931.11",1,1,1,"£158,338.39",0,60+,0.98,0,Yes,Yes,Stayed
15754849,776,Germany,Female,32,4,"£109,421.13",2,1,1,"£126,517.46",0,31-45,0.86,0,Yes,Yes,Stayed
15602280,829,Germany,Female,27,9,"£112,045.67",1,1,1,"£119,708.21",1,18-30,0.94,0,Yes,Yes,Churned
15771573,637,Germany,Female,39,9,"£137,843.80",1,1,1,"£117,622.80",1,31-45,1.17,0,Yes,Yes,Churned
15766205,550,Germany,Male,38,2,"£103,391.38",1,0,1,"£90,878.13",0,31-45,1.14,0,No,Yes,Stayed
15771873,776,Germany,Female,37,2,"£103,769.22",2,1,0,"£194,099.12",0,31-45,0.53,0,Yes,No,Stayed
15616550,698,Germany,Male,44,10,"£116,363.37",2,1,0,"£198,059.16",0,31-45,0.59,0,Yes,No,Stayed
15768193,585,Germany,Male,36,5,"£146,050.97",2,0,0,"£86,424.57",0,31-45,1.69,0,No,No,Stayed
15683553,788,France,Female,33,5,£0.00,2,0,0,"£116,978.19",0,31-45,0,0,No,No,Stayed
15702298,655,Germany,Male,41,8,"£125,561.97",1,0,0,"£164,040.94",1,31-45,0.77,0,No,No,Churned
15569590,601,Germany,Male,42,1,"£98,495.72",1,1,0,"£40,014.76",1,31-45,2.46,0,Yes,No,Churned
15760861,619,France,Male,43,1,"£125,211.92",1,1,1,"£113,410.49",0,31-45,1.1,0,Yes,Yes,Stayed
15630053,656,France,Male,45,5,"£127,864.40",1,1,0,"£87,107.57",0,31-45,1.47,0,Yes,No,Stayed
15647091,725,Germany,Male,19,0,"£75,888.20",1,0,0,"£45,613.75",0,18-30,1.66,0,No,No,Stayed
15623944,511,Spain,Female,66,4,£0.00,1,1,0,"£1,643.11",1,60+,0,0,Yes,No,Churned
15804771,614,France,Male,51,4,"£40,685.92",1,1,1,"£46,775.28",0,46-60,0.87,0,Yes,Yes,Stayed
15651280,742,Germany,Male,35,5,"£136,857.00",1,0,0,"£84,509.57",0,31-45,1.62,0,No,No,Stayed
15773469,687,Germany,Female,27,9,"£152,328.88",2,0,0,"£126,494.82",0,18-30,1.2,0,No,No,Stayed
15702014,555,Spain,Male,33,1,"£56,084.69",2,0,0,"£178,798.13",0,31-45,0.31,0,No,No,Stayed
15751208,684,Spain,Male,56,8,"£78,707.16",1,1,1,"£99,398.36",0,46-60,0.79,0,Yes,Yes,Stayed
15592461,603,Germany,Male,26,4,"£109,166.37",1,1,1,"£92,840.67",0,18-30,1.18,0,Yes,Yes,Stayed
15789484,751,Germany,Female,36,6,"£169,831.46",2,1,1,"£27,758.36",0,31-45,6.12,0,Yes,Yes,Stayed
15696061,581,Germany,Female,34,1,"£101,633.04",1,1,0,"£110,431.51",0,31-45,0.92,0,Yes,No,Stayed
